iter	Recall	CrossEntropy
0	0.3216526065	0.6925916292
50	0.330088687	0.666126476
100	0.330088687	0.6425140174
150	0.330088687	0.6212523403
200	0.330088687	0.6024300255
250	0.330088687	0.5856214779
300	0.330088687	0.5705850328
350	0.330088687	0.5572605253
400	0.330088687	0.5453228112
450	0.330088687	0.534693296
500	0.330088687	0.5250845876
550	0.330088687	0.5165413579
600	0.330088687	0.5089515871
650	0.330088687	0.5021094281
700	0.330088687	0.4959584747
750	0.330088687	0.4903719372
800	0.330088687	0.4849371712
